billing_id,customer_id,bill_date,amount_due,payment_status,payment_method
1,1,2024-06-11,219.0,Paid,PayPal
2,2,2025-03-11,29.89,Unpaid,Cash
3,3,2025-03-13,74.46,Unpaid,PayPal
4,4,2024-04-30,238.63,Pending,Cash
5,5,2025-03-04,75.93,Unpaid,Bank Transfer
6,6,2024-06-26,296.0,Unpaid,Credit Card
7,7,2024-05-12,189.09,Paid,Credit Card
8,8,2024-10-28,108.92,Pending,PayPal
9,9,2024-06-09,67.0,Paid,Cash
10,10,2024-06-05,84.75,Pending,PayPal
11,11,2024-12-15,133.18,Unpaid,Credit Card
12,12,2024-07-21,32.68,Unpaid,Cash
13,13,2025-01-29,82.87,Paid,Credit Card
14,14,2024-11-07,39.35,Pending,Credit Card
15,15,2024-09-28,219.64,Paid,Cash
16,16,2024-04-27,238.19,Unpaid,Credit Card
17,17,2024-08-04,131.22,Unpaid,PayPal
18,18,2024-05-19,211.89,Paid,PayPal
19,19,2024-04-08,226.56,Unpaid,PayPal
20,20,2024-08-11,195.77,Pending,PayPal
21,21,2024-12-24,52.61,Paid,Bank Transfer
22,22,2025-01-18,277.07,Unpaid,Bank Transfer
23,23,2025-01-23,121.96,Pending,PayPal
24,24,2024-08-17,156.12,Unpaid,Cash
25,25,2024-10-28,119.36,Pending,Credit Card
26,26,2024-11-16,43.32,Paid,Credit Card
27,27,2024-12-26,129.53,Pending,Bank Transfer
28,28,2024-05-20,89.2,Paid,Bank Transfer
29,29,2025-02-26,105.43,Unpaid,Bank Transfer
30,30,2024-12-16,208.37,Unpaid,Credit Card
31,31,2025-03-10,151.78,Pending,PayPal
32,32,2024-06-14,217.04,Pending,PayPal
33,33,2024-12-08,190.62,Pending,Credit Card
34,34,2025-02-28,244.29,Pending,Credit Card
35,35,2025-02-27,115.34,Paid,PayPal
36,36,2024-04-26,66.35,Paid,Credit Card
37,37,2024-09-19,268.71,Unpaid,Cash
38,38,2024-12-08,288.56,Pending,PayPal
39,39,2025-03-08,105.49,Unpaid,Credit Card
40,40,2024-11-08,159.21,Paid,PayPal
41,41,2024-03-21,92.4,Pending,Bank Transfer
42,42,2024-08-03,109.04,Unpaid,PayPal
43,43,2024-03-20,106.93,Unpaid,Bank Transfer
44,44,2025-02-09,53.61,Pending,Bank Transfer
45,45,2024-09-21,202.02,Unpaid,Cash
46,46,2024-10-28,297.84,Unpaid,PayPal
47,47,2024-12-30,198.74,Unpaid,Credit Card
48,48,2024-09-08,290.72,Paid,Cash
49,49,2024-03-21,154.7,Pending,PayPal
50,50,2024-12-28,117.03,Paid,Cash
51,51,2024-04-17,51.65,Unpaid,PayPal
52,52,2024-09-27,185.61,Unpaid,Credit Card
53,53,2025-01-02,166.87,Unpaid,Cash
54,54,2024-03-18,215.74,Pending,PayPal
55,55,2025-01-22,228.59,Paid,Bank Transfer
56,56,2024-07-24,17.45,Unpaid,Bank Transfer
57,57,2024-11-19,187.7,Paid,Credit Card
58,58,2024-12-20,123.8,Pending,Cash
59,59,2024-03-18,150.63,Paid,Cash
60,60,2024-08-07,287.65,Pending,Cash
61,61,2024-11-16,40.71,Pending,Bank Transfer
62,62,2024-12-06,223.14,Pending,Bank Transfer
63,63,2024-07-05,84.17,Unpaid,Cash
64,64,2024-10-29,120.42,Paid,Cash
65,65,2024-11-24,285.68,Unpaid,Cash
66,66,2024-05-04,222.48,Unpaid,Credit Card
67,67,2024-08-27,178.99,Paid,Bank Transfer
68,68,2024-09-25,54.13,Pending,Cash
69,69,2025-02-20,254.96,Paid,PayPal
70,70,2024-07-24,201.91,Unpaid,Credit Card
71,71,2024-05-24,147.6,Pending,Credit Card
72,72,2025-01-31,206.72,Unpaid,Cash
73,73,2024-07-06,253.68,Pending,Cash
74,74,2024-12-02,203.57,Pending,Cash
75,75,2024-09-03,186.07,Unpaid,Bank Transfer
76,76,2024-08-13,10.34,Unpaid,Cash
77,77,2024-10-05,277.16,Pending,Cash
78,78,2024-07-07,86.91,Pending,Bank Transfer
79,79,2024-11-02,285.27,Pending,Cash
80,80,2024-07-31,227.22,Unpaid,Cash
81,81,2025-02-22,110.37,Pending,Bank Transfer
