usage_id,customer_id,call_minutes,data_used_MB,text_messages,usage_date
1,1,543,7164.35,147,2024-04-02
2,2,573,7229.24,155,2025-03-08
3,3,101,3781.81,499,2024-06-10
4,4,544,6001.65,400,2024-06-09
5,5,417,5927.51,310,2024-12-10
6,6,327,8427.16,60,2024-05-03
7,7,160,551.51,461,2025-03-02
8,8,326,7697.99,85,2025-01-10
9,9,287,3865.53,411,2025-03-05
10,10,143,582.14,400,2024-08-27
11,11,422,3637.73,444,2024-12-24
12,12,387,8097.26,266,2024-06-27
13,13,274,4802.68,254,2024-09-28
14,14,43,3117.69,431,2024-11-16
15,15,141,5979.8,301,2024-09-29
16,16,249,2512.05,420,2024-04-21
17,17,73,1803.15,487,2024-08-07
18,18,19,8478.65,398,2024-03-25
19,19,287,1106.33,407,2024-12-26
20,20,161,2076.77,230,2024-07-21
21,21,455,8908.76,357,2024-09-07
22,22,383,517.51,162,2025-02-17
23,23,38,426.07,213,2024-12-12
24,24,507,3373.31,145,2024-03-16
25,25,366,5551.81,72,2024-05-13
26,26,247,4771.1,394,2025-02-04
27,27,334,3913.02,24,2025-03-12
28,28,112,1318.31,230,2024-06-15
29,29,367,2616.4,2,2024-08-06
30,30,118,8179.1,65,2024-03-20
31,31,225,683.32,4,2024-10-13
32,32,415,917.25,314,2024-07-29
33,33,582,227.28,270,2024-09-08
34,34,255,606.96,230,2024-10-29
35,35,276,5762.44,124,2024-08-29
36,36,507,9005.03,189,2024-07-26
37,37,317,6323.12,13,2025-03-16
38,38,562,4128.01,438,2024-07-07
39,39,447,9271.59,371,2024-11-16
40,40,99,9867.41,239,2024-08-28
41,41,531,2663.6,118,2024-07-24
42,42,300,3673.15,466,2025-01-10
43,43,560,3075.33,494,2025-03-03
44,44,192,419.49,349,2024-06-02
45,45,43,1913.27,181,2025-01-12
46,46,317,9086.96,179,2025-02-26
47,47,200,3150.28,212,2024-06-26
48,48,172,5237.51,127,2024-09-04
49,49,441,1177.96,65,2024-08-05
50,50,515,8679.61,250,2024-06-04
51,51,146,1300.85,371,2024-09-02
52,52,382,3627.16,273,2024-06-28
53,53,90,780.49,492,2024-05-23
54,54,101,6795.67,472,2024-06-13
